127.0.0.1 - - [29/Apr/2021:11:46:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Apr/2021:11:46:35 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [29/Apr/2021:11:46:35 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:11:46:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Apr/2021:11:46:39 +0530] "GET /SpringMVCDemo/add?t1=user1&t2=pwd1 HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [29/Apr/2021:12:17:26 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [29/Apr/2021:12:17:26 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [29/Apr/2021:12:17:54 +0530] "GET /SpringMVCDemo/add?t1=&t2= HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [29/Apr/2021:12:17:54 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:12:18:35 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [29/Apr/2021:12:18:35 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:12:18:36 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [29/Apr/2021:12:18:36 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:12:19:09 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [29/Apr/2021:12:21:04 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [29/Apr/2021:12:21:04 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 304 -
